AgencyID,Agency_Name,Standard_Name,Region,Region_Code,City
A001,2nd Purchase,2nd Purchase2,,,
A002,Abbie @ Odd Salon,Abbie @ Odd Salon,,,
A003,Abbotsford Community Services,Abbotsford Community Services,Lower Mainland , LMFV,Abbotsford
A004,Abbotsford Senior Secondary School ,Abbotsford Senior Secondary School ,Lower Mainland ,LMVI,
A005,ABBOTSFORD WHALERS AQUATIC CLUB,ABBOTSFORD WHALERS AQUATIC CLUB,Lower Mainland , LMFV,Abbotsford
A006,Access Youth Outreach Services Society,Access Youth Outreach Services Society,Lower Mainland , LMFV,Coquitlam
A007,Adams Lake Indian Band,Adams Lake Indian Band,Cariboo , TNC,
A008,Agassiz-Harrison Community Services,Agassiz-Harrison Community Services,Lower Mainland , LMFV,Agassiz
A008,Agassiz-Harrison Community Services Society,Agassiz-Harrison Community Services,Lower Mainland , LMFV,Agassiz
A008,Aggassiz Harrison Community Services,Agassiz-Harrison Community Services,Lower Mainland , LMFV,Agassiz
A009,AIDS Vancouver,AIDS Vancouver,Lower Mainland , LMFV,Vancouver
A010,Air Queen,Air Queen,,,
A010,Air Queen Pads Donation,Air Queen,,,
A011,Aisle,Aisle,Lower Mainland , LMFV,Vancouver
A011,Aisle: Vancity Research Project,Aisle,Lower Mainland , LMFV,Vancouver
A012,Alberni Clayoquot Métis Society ,Alberni Clayoquot Métis Society ,Vancouver Island , CNVI,Port Alberni
A013,Alberni Valley Community School Society,Alberni Valley Community School Society,Vancouver Island , CNVI,Port Alberni
A014,Alexandra Neighbourhood House,Alexandra Neighbourhood House,Lower Mainland , LMFV,White Rock
A014,Alexandra Neighbourhood House (Youth & Family Centre),Alexandra Neighbourhood House,Lower Mainland , LMFV,White Rock
A015,Always and Tampax Corporate Donation,Always and Tampax Corporate Donation,,,
A016,Amata Transition House,Amata Transition House,North Coast,North,Quesnel
A017,ANHBC,ANHBC,Lower Mainland , LMFV,Vancouver
A018,Ann Davis Transition House Society,Ann Davis Transition Society,Lower Mainland , LMFV,Chilliwack
A018,Ann Davis Transition Society,Ann Davis Transition Society,Lower Mainland , LMFV,Chilliwack
